Geno.id	T1
WD2003	10.47
WD2004	8.68
WD2005	13.22
WD2007	9.35
WD2009	10.84
WD2010	14.1
WD2011	11.01
WD2012	8.79
WD2013	9.57
WD2014	12.4
WD2015	10.84
WD2016	10.59
WD2017	14.76
WD2018	9.43
WD2019	9.82
WD2020	8.98
WD2021	13.53
WD2023	8.87
WD2024	10.47
WD2025	11.49
WD2026	11.38
WD2027	11.46
WD2028	9.28
WD2029	14.31
WD2030	14.08
WD2031	9.83
WD2032	14.22
WD2033	10.56
WD2035	13.84
WD2036	15.01
WD2037	9.6
WD2038	11.79
WD2039	13.96
WD2040	12.19
WD2041	10.82
WD2042	9.93
WD2043	10.88
WD2044	11.5
WD2045	12.57
WD2046	10.36
WD2047	10.44
WD2048	11.66
WD2049	9.1
WD2050	12.55
WD2051	11.75
WD2052	10.61
WD2053	9.35
WD2054	10.05
WD2055	8.84
WD2058	10.36
WD2059	9.67
WD2061	12.25
WD2062	9.89
WD2063	10.88
WD2064	11
WD2065	9.61
WD2066	10.35
WD2067	9.53
WD2068	10.92
WD2071	9.37
WD2072	14.76
WD2074	7.83
WD2077	8.73
WD2078	13.23
WD2079	10.68
WD2081	10.47
WD2083	8.34
WD2084	8.55
WD2085	9.39
WD2086	12.09
WD2087	9.29
WD2088	11.92
WD2089	13.48
WD2090	10.17
WD2091	9.97
WD2092	11.79
WD2093	10.32
WD2094	12.13
WD2096	12.32
WD2097	12.55
WD2098	9.67
WD2099	9.18
WD2100	10.61
WD2101	9.27
WD2102	9.86
WD2103	9.91
WD2105	9.44
WD2106	8.31
WD2107	11.04
WD2108	11.12
WD2109	8.02
WD2110	7.68
WD2111	13.58
WD2114	7.52
WD2116	8.25
WD2117	11.46
WD2118	8.07
WD2119	8.81
WD2120	9.85
WD2121	7.44
WD2123	10.82
WD2124	10.17
WD2125	9.71
WD2126	7.65
WD2127	8.37
WD2128	13.52
